customer,grain_screened,ink_color,proof_on_ctd_ink,blade_mfg,cylinder_division,paper_type,ink_type,direct_steam,solvent_type,type_on_cylinder,press_type,press,cylinder_size,paper_mill_location,plating_tank,proof_cut,viscosity,caliper,ink_temperature,humifity,roughness,blade_pressure,varnish_pct,press_speed,ink_pct,solvent_pct,ESA_Voltage,ESA_Amperage,wax,hardener,roller_durometer,current_density,anode_space_ratio,chrome_content,cls
63,2,0,2,1,0,2,2,1,1,2,2,4,3,3,1,55.0,46.0,3,17.0,78.0,0.8,20.0,13.1,1700.0,50.5,36.4,0.0,0.0,2.5,1.0,34.0,4,105.0,0,1
63,2,0,2,1,0,2,2,1,1,2,2,4,3,3,2,55.0,46.0,10,15.0,80.0,0.8,20.0,6.6,1900.0,54.9,38.5,0.0,0.0,2.5,0.7,34.0,4,105.0,0,0
51,2,0,2,1,0,2,0,1,1,2,3,2,1,3,2,62.0,40.0,16,16.0,80.0,0.7,30.0,6.5,1850.0,53.8,39.8,0.0,0.0,2.8,0.9,40.0,4,103.9,0,0
49,2,0,2,1,0,2,2,1,1,2,3,3,1,3,0,52.0,40.0,10,16.0,75.0,0.3,30.0,5.6,1467.0,55.6,38.8,0.0,0.0,2.5,1.3,40.0,4,108.1,0,0
46,1,0,2,1,0,2,0,1,1,2,3,3,3,0,0,50.0,46.0,10,17.0,80.0,0.8,30.0,0.0,2100.0,57.5,42.5,5.0,0.0,2.3,0.6,35.0,4,106.7,0,0
49,2,0,2,1,0,2,2,1,1,2,3,3,1,3,0,50.0,40.0,8,16.8,76.0,0.4,28.0,8.6,1467.0,53.8,37.6,5.0,0.0,2.5,0.8,40.0,4,103.9,0,0
57,1,0,2,1,0,0,0,1,1,2,2,6,3,1,1,50.0,46.0,10,16.5,75.0,0.8,30.0,0.0,2600.0,62.5,37.5,6.0,0.0,2.5,0.6,30.0,4,106.7,0,0
57,1,0,2,1,0,0,0,1,1,2,2,6,3,1,1,50.0,46.0,3,16.5,75.0,0.8,28.0,0.0,2600.0,62.5,37.5,6.0,0.0,2.5,1.1,30.0,4,106.7,0,0
51,2,0,2,1,0,2,2,1,3,2,0,0,1,3,0,50.0,45.0,14,12.0,70.0,0.8,60.0,0.0,1650.0,60.2,39.8,1.5,0.0,3.0,1.0,40.0,4,103.2,0,1
16,2,0,2,1,0,2,2,1,1,2,3,2,1,3,1,65.0,43.0,12,16.0,75.0,1.0,32.0,22.7,1750.0,45.5,31.8,0.0,0.0,3.0,1.0,38.0,4,106.7,0,0
16,2,0,2,1,0,2,2,1,1,2,3,2,1,3,0,65.0,43.0,3,16.0,68.0,0.8,30.0,15.5,1750.0,48.5,35.9,0.0,0.0,3.0,1.0,38.0,4,106.6,0,0
37,2,0,2,1,0,2,2,1,1,2,2,4,3,3,1,50.0,50.0,14,14.0,80.0,0.8,40.0,10.5,1700.0,52.6,36.8,0.0,0.0,2.5,1.0,38.0,4,105.0,0,1
36,2,0,2,1,0,2,2,1,1,2,2,4,3,3,1,50.0,50.0,10,15.0,70.0,1.0,30.0,10.0,1600.0,50.0,40.0,0.0,0.0,2.8,1.0,38.0,4,106.7,0,1
31,2,0,2,1,0,2,2,1,1,2,2,4,3,3,1,40.0,45.0,10,14.5,70.0,0.6,25.0,0.0,1500.0,59.5,40.5,0.0,0.0,2.0,1.0,40.0,4,100.0,0,1
36,2,0,2,1,0,2,2,1,1,2,2,4,3,3,1,50.0,43.0,8,16.0,75.0,1.0,20.0,15.8,1600.0,49.5,34.7,0.0,0.0,2.5,1.0,38.0,4,103.2,0,0
51,0,0,2,1,0,0,0,1,1,1,1,1,1,3,1,45.0,45.0,6,15.0,87.0,1.0,30.9,0.0,1400.0,62.5,37.5,0.0,0.0,2.5,1.0,40.0,4,103.2,0,1
39,1,0,2,1,0,0,0,1,1,1,1,1,1,1,1,30.0,45.0,3,14.0,65.0,0.7,30.9,0.0,1600.0,62.5,37.5,0.0,0.0,2.5,0.8,33.0,4,100.0,0,0
39,1,0,2,1,0,0,0,1,1,1,1,1,1,1,1,30.0,45.0,3,15.5,65.0,0.7,30.9,5.9,1600.0,58.8,35.3,0.0,0.0,2.5,1.8,33.0,4,100.0,0,0
64,2,0,2,1,0,2,2,1,1,2,1,1,1,1,0,60.0,38.0,8,16.4,64.0,0.8,30.9,11.0,1400.0,54.9,34.1,0.0,0.0,2.5,1.0,32.0,4,103.2,0,0
64,2,0,2,1,0,2,2,1,1,2,1,1,1,1,1,60.0,38.0,12,16.5,66.0,0.8,30.9,6.7,1400.0,56.2,37.1,0.0,0.0,1.1,1.4,32.0,4,103.2,0,0
19,1,0,2,1,0,0,0,1,2,1,2,5,3,1,1,50.0,45.0,6,16.0,70.0,0.8,30.0,0.0,2400.0,58.8,41.2,0.0,0.0,1.7,1.0,30.0,4,107.4,0,0
19,1,0,2,1,0,0,0,1,2,2,2,5,3,1,1,40.0,45.0,3,15.0,76.0,0.8,30.0,0.0,2400.0,62.5,37.5,0.0,0.0,1.0,1.0,30.0,4,107.4,0,0
67,1,0,2,1,0,0,0,1,1,2,2,5,3,1,1,30.0,43.0,3,16.3,70.0,0.8,25.0,1.2,2200.0,58.1,40.7,4.0,0.0,2.0,1.0,30.0,4,96.9,0,0
61,1,0,2,1,0,0,0,1,1,2,2,6,2,1,1,40.0,41.0,3,15.8,72.0,1.0,30.0,0.0,2000.0,62.5,37.5,0.0,0.0,2.5,1.0,30.0,4,107.4,0,1
46,1,0,2,1,0,0,0,1,1,2,2,6,3,4,1,40.0,42.0,3,14.5,74.0,1.0,25.0,8.0,2100.0,57.5,34.5,0.0,0.0,2.3,0.7,35.0,4,107.4,0,1
46,1,0,2,1,0,0,0,1,1,2,2,6,3,4,1,45.0,42.0,3,14.0,70.0,1.0,20.0,8.0,1850.0,57.5,34.5,0.0,0.0,2.0,0.7,35.0,4,107.4,0,1
46,1,0,2,1,0,2,0,1,1,2,2,6,3,4,1,50.0,45.0,10,15.0,76.0,1.0,30.0,8.0,2150.0,57.5,34.5,0.0,0.0,2.5,1.0,35.0,4,107.4,0,0
46,1,0,2,1,0,2,0,1,1,2,2,6,3,4,1,50.0,45.0,10,15.2,72.0,1.0,25.0,5.9,2150.0,58.8,35.3,0.0,0.0,2.5,1.0,35.0,4,107.4,0,0
68,1,0,2,1,0,0,0,1,1,1,2,7,3,1,1,35.0,42.0,20,15.0,75.0,0.8,30.0,0.0,2100.0,58.8,41.2,0.0,0.0,2.0,0.8,30.0,4,107.4,0,1
4,1,0,2,1,0,0,0,1,1,1,2,7,3,1,0,30.0,45.0,6,17.0,70.0,0.8,35.0,0.0,2200.0,58.8,41.2,0.0,0.0,2.5,1.0,33.0,4,106.4,0,1
46,1,0,2,1,0,2,0,1,1,2,3,2,3,3,1,37.5,44.0,3,16.0,90.0,0.8,28.0,20.0,2050.0,45.0,35.0,0.0,0.0,2.4,0.8,35.0,4,107.4,0,0
46,1,0,2,1,0,2,0,1,1,2,3,2,3,3,1,37.5,44.0,3,16.5,91.0,0.8,30.0,21.7,2050.0,43.5,34.8,0.0,0.0,2.7,0.8,35.0,4,107.4,0,0
63,2,0,2,1,0,2,2,1,1,2,2,4,3,0,1,45.0,44.0,8,14.1,78.0,0.6,22.0,7.6,1510.0,54.3,38.0,0.0,0.0,2.5,0.7,34.0,4,114.3,0,0
63,2,0,2,1,0,2,2,1,1,2,2,4,3,0,0,40.0,44.0,3,14.0,69.0,0.6,20.0,8.5,1510.0,53.2,38.3,2.0,0.0,2.5,0.9,34.0,4,110.0,0,0
69,1,0,2,1,0,0,0,1,1,1,2,7,3,0,1,40.0,47.0,12,17.0,78.0,0.8,35.0,0.0,2400.0,58.8,41.2,4.0,0.0,2.5,1.0,30.0,4,100.0,0,1
2,1,0,2,1,0,0,0,1,1,2,1,1,1,0,1,30.0,42.0,3,15.4,64.0,0.9,30.9,0.0,1425.0,63.0,37.0,0.0,0.0,1.0,1.3,34.0,4,107.4,0,0
61,1,0,2,1,0,0,0,1,1,2,3,2,2,1,0,45.0,38.0,20,15.0,80.0,0.6,30.0,7.0,1600.0,58.1,34.9,0.0,0.0,2.5,1.5,30.0,4,103.2,0,1
7,2,0,2,1,0,2,2,1,1,2,3,3,3,0,1,40.0,43.0,8,16.0,96.0,1.0,28.0,0.0,1500.0,58.8,41.2,2.0,0.0,3.0,0.8,40.0,4,103.1,0,0
7,2,0,2,1,0,2,2,1,1,2,3,3,3,3,1,32.5,43.0,3,15.0,82.0,1.0,31.0,7.6,1500.0,54.3,38.0,4.0,0.0,2.5,1.0,40.0,4,103.1,0,0
58,1,0,2,1,0,2,0,1,1,2,3,2,1,3,1,37.5,44.0,10,15.0,85.0,0.8,34.0,0.0,1400.0,62.5,37.5,0.0,0.0,2.8,1.0,28.0,4,103.1,0,0
58,1,0,2,1,0,2,0,1,1,2,3,2,1,3,0,35.0,44.0,10,16.0,80.0,1.0,32.0,7.0,1400.0,58.1,34.9,0.0,0.0,3.0,1.0,28.0,4,103.1,0,0
2,1,0,2,1,0,0,0,1,1,2,1,1,1,3,1,30.0,42.0,3,15.4,64.0,0.9,30.9,0.0,1425.0,61.7,38.3,0.0,0.0,1.0,1.3,34.0,4,107.4,0,0
57,1,0,2,1,0,0,0,1,1,2,2,5,3,1,0,50.0,43.0,3,16.0,82.0,0.9,30.0,0.0,2270.0,55.6,44.4,12.0,0.0,2.0,1.0,30.0,4,103.2,0,0
57,1,0,2,1,0,0,0,1,1,2,2,5,3,1,0,50.0,43.0,10,16.3,80.0,0.8,30.0,0.0,2270.0,55.6,44.4,12.0,0.0,1.5,1.5,30.0,4,103.2,0,0
43,1,0,2,1,0,2,0,1,1,2,2,6,3,3,1,60.0,43.0,8,15.8,57.0,0.8,24.0,1.2,1480.0,58.1,40.7,0.0,0.0,1.4,1.7,33.0,4,103.1,0,0
43,1,0,2,1,0,2,0,1,1,2,2,6,3,3,1,52.5,43.0,6,16.6,58.0,0.8,20.0,7.9,1480.0,56.2,36.0,0.0,0.0,1.7,0.7,33.0,4,103.1,0,0
57,1,0,2,1,0,0,0,1,1,2,2,5,3,0,0,50.0,43.0,10,17.0,87.0,0.8,35.0,0.0,2300.0,58.8,41.2,0.0,0.0,1.3,0.7,30.0,4,103.2,0,0
15,1,0,2,1,0,0,0,1,1,2,2,4,3,1,1,25.0,38.0,3,13.0,75.0,0.6,25.0,0.0,1600.0,57.5,42.5,0.0,0.0,2.5,0.8,30.0,4,103.1,0,0
15,1,0,2,1,0,0,0,1,1,2,2,4,3,1,1,25.0,38.0,6,14.0,70.0,0.6,25.0,0.0,1600.0,58.8,41.2,5.0,0.0,1.7,0.9,30.0,4,103.1,0,0
46,1,0,2,1,0,2,2,1,1,2,3,3,3,4,1,40.0,46.0,12,15.9,78.0,0.5,34.0,2.4,2000.0,61.0,36.6,0.0,0.0,2.4,1.3,35.0,4,103.2,0,0
6,2,0,2,1,0,2,2,1,1,2,2,6,3,3,1,45.0,41.0,12,17.0,78.0,0.8,16.0,14.1,1100.0,50.5,35.4,0.0,0.0,2.5,1.0,50.0,4,97.0,0,1
6,2,0,2,1,0,2,2,1,1,2,2,6,3,3,1,47.5,41.0,6,16.5,72.0,0.8,20.0,14.1,1300.0,50.5,35.4,4.0,0.0,2.5,1.0,50.0,4,97.0,0,1
62,1,0,1,1,0,0,0,1,1,1,2,5,3,1,0,40.0,46.0,3,15.0,68.0,0.8,28.0,0.0,1700.0,58.8,41.2,0.0,0.0,1.0,1.0,33.0,4,103.2,0,0
62,1,0,1,1,0,0,0,1,1,1,2,5,3,1,1,40.0,46.0,8,16.5,68.0,0.9,25.0,0.0,1700.0,58.8,41.2,0.0,0.0,1.0,1.0,33.0,4,103.1,0,0
61,1,0,2,1,0,0,0,1,1,2,3,2,2,1,1,40.0,35.0,6,18.0,85.0,0.6,30.0,0.0,2000.0,62.5,37.5,0.0,0.0,2.5,0.9,30.0,4,103.1,0,0
57,1,0,2,1,0,0,0,1,1,2,2,5,3,1,0,50.0,43.0,3,17.0,84.0,0.7,35.0,0.0,2300.0,55.6,44.4,0.0,0.0,2.0,0.8,30.0,4,103.2,0,0
58,1,0,2,1,0,2,0,1,1,2,0,0,1,3,1,35.0,38.0,15,12.0,62.0,0.8,46.0,4.7,1400.0,58.8,36.5,0.0,0.0,2.0,1.0,28.0,4,103.1,0,0
58,1,0,2,1,0,2,0,1,1,2,0,0,1,3,1,35.0,38.0,16,16.0,70.0,0.8,50.0,0.0,1400.0,62.5,37.5,0.0,0.0,2.8,1.5,28.0,4,103.1,0,0
63,2,0,2,1,0,2,2,1,1,2,2,4,3,3,1,50.0,46.0,3,14.6,60.0,0.6,25.0,10.5,1750.0,52.6,36.8,2.0,0.0,2.4,0.8,28.0,4,97.0,0,1
46,2,0,2,1,0,2,2,1,1,2,2,6,3,5,0,40.0,47.0,12,24.5,78.0,0.9,30.0,8.8,2100.0,54.9,36.3,16.0,0.0,2.3,1.0,40.0,4,100.0,0,1
46,2,0,2,1,0,2,2,1,1,1,2,6,3,5,2,40.0,47.0,13,14.4,76.0,0.8,16.0,7.2,2000.0,51.5,41.2,1.0,0.0,2.7,1.4,40.0,4,100.0,0,1
46,2,0,2,1,0,2,2,1,1,2,2,6,3,5,0,40.0,39.0,6,15.0,77.0,0.8,20.0,9.4,2000.0,52.1,38.5,0.0,0.0,2.5,1.0,40.0,4,103.2,0,0
46,2,0,2,1,0,2,2,1,1,2,2,6,3,5,0,40.0,39.0,3,15.0,79.0,0.8,20.0,11.8,2000.0,49.0,39.2,0.0,0.0,2.5,1.0,40.0,4,103.2,0,0
46,0,0,2,1,0,2,2,1,1,2,2,6,3,5,1,45.0,43.0,8,14.2,68.0,0.8,18.0,0.0,2000.0,62.5,37.5,0.0,0.0,2.5,1.2,40.0,4,106.4,0,1
46,0,0,2,1,0,2,2,1,1,2,2,6,3,5,0,45.0,48.0,6,14.0,80.0,0.8,30.0,0.0,2000.0,62.5,37.5,0.0,0.0,2.4,1.0,40.0,4,109.7,0,1
46,0,0,2,1,0,2,2,1,1,1,2,6,3,5,1,45.0,40.0,8,16.4,72.0,1.0,26.0,0.0,2000.0,62.5,37.5,0.0,0.0,2.5,1.0,40.0,4,106.4,0,1
46,2,0,2,1,0,2,2,1,1,2,2,5,3,5,1,40.0,40.0,13,18.5,85.0,0.6,30.0,0.0,1900.0,62.5,37.5,4.0,0.0,1.8,1.4,40.0,4,106.4,0,1
46,1,0,2,1,0,2,0,1,1,2,2,4,3,0,1,42.5,41.0,10,14.0,70.0,0.6,20.0,2.3,1750.0,57.5,40.0,4.0,0.0,2.5,0.7,35.0,4,97.0,0,0
25,1,0,2,1,0,0,0,1,1,2,2,7,3,1,0,35.0,39.0,3,16.2,84.0,1.0,30.0,0.0,2100.0,62.5,37.5,4.0,0.0,2.0,0.9,30.0,4,94.1,0,0
51,1,0,2,1,0,0,2,1,1,2,1,1,1,3,0,35.0,45.0,10,14.1,65.0,1.0,30.9,0.0,1500.0,59.5,40.5,0.0,0.0,2.6,1.0,40.0,4,109.7,0,0
51,1,0,2,1,0,2,2,1,3,2,0,0,1,3,0,50.0,43.0,12,14.0,68.0,0.8,56.0,7.4,1800.0,53.2,39.4,0.0,0.5,3.0,1.3,40.0,4,109.7,0,0
51,1,0,2,1,0,2,2,1,1,2,3,3,1,3,0,67.5,45.0,3,15.5,80.0,0.5,34.0,16.3,1683.0,43.5,40.2,6.0,0.0,2.5,1.0,40.0,4,109.7,0,0
4,1,0,2,1,0,0,0,1,1,2,2,4,3,1,0,55.0,37.0,8,16.0,75.0,0.6,20.0,5.6,1850.0,55.6,38.9,0.0,0.0,0.8,0.8,33.0,4,109.7,0,0
46,1,0,2,1,0,2,0,1,1,2,2,4,3,0,1,42.5,41.0,3,14.0,80.0,0.6,20.0,7.4,1750.0,53.2,39.4,0.0,0.0,2.1,0.9,35.0,4,97.0,0,0
51,2,0,2,1,0,2,2,1,1,2,1,1,1,3,0,52.5,45.0,3,15.3,72.0,0.8,30.9,12.4,1600.0,51.5,36.1,0.0,0.0,2.5,1.0,40.0,4,109.7,0,0
51,1,0,2,1,0,0,2,1,1,2,1,1,1,3,0,35.0,45.0,3,15.2,63.0,1.0,30.9,0.0,1500.0,59.5,40.5,0.0,0.0,2.3,0.9,40.0,4,109.7,0,0
51,2,0,2,1,0,2,2,1,1,2,1,1,1,3,0,52.5,45.0,6,16.0,68.0,0.8,30.9,0.0,1600.0,58.8,41.2,4.0,0.0,2.3,0.8,40.0,4,109.7,0,0
46,1,0,2,1,0,2,0,1,1,2,3,3,3,0,0,49.0,43.0,13,14.5,74.0,0.8,23.0,9.1,1900.0,56.8,34.1,2.0,0.0,0.7,0.2,35.0,4,103.2,0,1
51,2,0,2,1,0,2,2,1,1,2,1,1,1,3,0,52.5,37.0,6,14.0,73.0,0.8,30.9,9.6,1600.0,53.2,37.2,0.0,0.0,2.3,1.0,40.0,4,109.7,0,0
51,2,0,2,1,0,2,2,1,1,2,1,1,1,3,0,52.5,43.0,8,15.1,76.0,0.5,31.0,6.6,1650.0,54.9,38.5,0.0,0.0,2.5,1.5,40.0,4,109.7,0,0
46,1,0,2,1,0,2,0,1,1,2,2,7,3,4,0,40.0,44.0,3,16.1,78.0,0.9,30.0,5.6,1800.0,55.6,38.9,0.0,0.0,2.0,1.0,35.0,4,103.2,0,0
51,2,0,2,1,0,2,2,1,1,2,1,1,1,3,2,52.5,37.0,3,15.0,66.0,0.8,30.9,13.3,1600.0,55.6,42.2,0.0,0.0,2.4,0.8,40.0,4,100.0,0,0
46,1,0,2,1,0,2,0,1,1,2,2,6,3,0,0,40.0,43.0,13,16.5,72.0,0.6,20.0,9.1,2000.0,56.8,34.1,4.0,0.0,2.5,0.5,35.0,4,103.2,0,0
46,1,0,2,1,0,2,0,1,1,2,2,6,3,0,0,40.0,43.0,13,16.1,70.0,0.6,20.0,11.1,2000.0,55.6,33.3,4.0,0.0,1.8,0.9,35.0,4,103.2,0,0
57,1,0,2,1,0,0,0,1,1,2,2,5,3,1,0,40.0,43.0,8,16.0,80.0,0.6,30.0,5.6,1900.0,55.6,38.9,0.0,0.0,2.2,1.3,30.0,4,103.2,0,0
63,2,0,2,1,0,2,2,1,1,2,2,4,3,3,1,45.0,45.0,20,14.7,75.0,0.6,30.0,15.0,1734.0,50.0,35.0,2.0,0.0,1.5,0.6,34.0,4,103.2,0,1
42,1,0,2,1,0,2,0,1,1,2,3,3,3,0,2,60.0,49.0,12,14.9,77.0,0.8,27.0,0.0,1650.0,58.8,41.2,0.0,0.0,2.5,0.7,33.0,4,103.3,0,0
63,2,0,2,1,0,2,2,1,1,1,2,4,3,0,0,55.0,49.0,8,12.5,70.0,0.6,30.0,5.6,1750.0,55.6,38.9,0.0,0.0,2.5,0.9,34.0,4,106.7,0,1
63,2,0,2,1,0,2,2,1,1,2,2,4,3,0,1,45.0,45.0,20,15.1,75.0,0.6,20.0,15.0,1750.0,50.0,35.0,0.0,0.0,1.6,0.9,34.0,4,103.2,0,0
42,1,0,2,1,0,2,0,1,1,2,3,3,3,0,0,55.0,49.0,3,15.6,74.0,0.8,24.0,0.0,1650.0,58.8,41.2,0.0,0.0,2.5,1.7,33.0,4,103.3,0,0
46,1,0,2,1,0,0,0,1,1,2,2,7,3,0,1,40.0,49.0,6,15.3,74.0,1.0,34.0,0.0,2000.0,62.5,37.5,0.0,0.0,2.2,1.0,35.0,4,100.0,0,0
46,1,0,2,1,0,0,0,1,1,2,2,7,3,0,1,40.0,49.0,6,16.8,78.0,0.9,30.0,0.0,2000.0,62.5,37.5,0.0,0.0,2.4,0.9,35.0,4,100.0,0,0
63,2,0,2,1,0,2,2,1,1,2,2,4,3,3,1,42.5,46.0,10,14.0,77.0,0.6,42.0,15.8,1850.0,49.5,34.6,8.0,0.0,1.5,0.8,34.0,4,100.0,0,1
68,1,0,1,1,0,0,0,1,1,2,2,7,3,1,1,35.0,44.0,3,15.5,100.0,0.9,30.0,0.0,2200.0,53.2,46.8,0.0,0.0,0.0,0.0,30.0,4,100.0,0,1
6,2,0,2,1,0,2,2,1,1,1,2,6,3,3,0,42.0,44.0,10,15.0,80.0,1.2,20.0,16.7,1300.0,49.0,34.3,0.0,0.0,2.5,0.2,40.0,4,110.0,0,0
6,2,0,2,1,0,2,2,1,1,1,2,6,3,3,0,45.0,44.0,10,15.5,75.0,1.2,20.0,14.1,1300.0,50.5,35.4,0.0,0.0,2.5,1.5,40.0,4,110.0,0,0
57,1,0,2,1,0,0,0,1,1,2,2,5,3,1,0,50.0,43.0,10,16.0,70.0,0.8,30.0,3.4,2400.0,56.8,39.8,0.0,0.0,2.5,0.8,30.0,4,103.1,0,0
57,1,0,2,1,0,0,0,1,1,2,2,5,3,1,0,47.0,43.0,8,16.0,80.0,0.6,30.0,9.1,2400.0,50.5,40.4,0.0,0.0,2.5,1.1,30.0,4,103.1,0,0
20,1,0,2,1,0,0,0,1,1,2,2,5,3,1,1,35.0,48.0,6,16.0,76.0,0.8,30.0,8.9,1900.0,49.5,41.6,0.0,0.0,2.5,1.2,30.0,4,103.2,0,0
20,1,0,2,1,0,0,0,1,1,2,2,5,3,1,1,35.0,48.0,6,16.0,86.0,0.6,30.0,16.1,1900.0,44.6,39.3,0.0,0.0,2.5,1.5,30.0,4,103.2,0,0
61,1,0,2,1,0,2,0,1,1,2,2,6,2,1,1,35.0,43.0,6,14.0,75.0,1.2,20.0,7.6,1823.4,54.3,38.0,0.0,0.0,2.5,2.0,33.0,4,106.7,0,0
61,1,0,2,1,0,2,0,1,1,2,2,6,2,1,1,37.5,43.0,6,14.0,80.0,1.2,20.0,6.2,1823.4,52.1,41.7,0.0,0.0,3.0,1.5,33.0,4,106.7,0,0
9,1,0,2,1,0,2,0,1,1,2,1,1,1,3,0,40.0,44.0,3,15.0,68.0,0.8,30.9,0.0,1750.0,58.8,41.2,0.0,0.0,2.7,0.7,35.0,4,103.1,0,0
9,1,0,2,1,0,2,0,1,1,2,1,1,1,3,0,40.0,44.0,6,15.5,68.0,0.8,30.9,5.6,1750.0,55.6,38.9,0.0,0.0,1.5,0.5,35.0,4,103.1,0,0
61,1,0,2,1,0,0,0,1,1,2,2,6,2,1,0,47.5,68.0,15,14.0,78.0,0.8,22.0,0.0,1900.0,62.5,37.5,0.0,0.0,2.1,1.7,33.0,4,103.1,0,1
