A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,cls
1,65.0,168.0,1,8,3,39.0,0,0,1.0,1,1,32.0,161.0,0
0,72.0,123.0,1,12,3,5.0,0,0,1.0,0,1,53.0,1.0,0
0,142.0,52.0,0,8,3,31.0,0,0,1.0,1,1,98.0,1.0,0
0,60.0,169.0,0,9,2,1.0,1,1,12.0,1,1,1.0,1.0,1
1,44.0,134.0,1,10,3,46.0,1,1,15.0,0,1,18.0,68.0,1
0,4.0,20.0,1,12,6,37.0,1,1,3.0,0,1,32.0,1.0,1
1,16.0,119.0,1,7,3,4.0,0,0,1.0,0,1,18.0,50.0,0
0,330.0,94.0,1,2,6,66.0,1,1,7.0,0,1,12.0,120.0,1
1,126.0,33.0,0,6,6,65.0,0,0,1.0,0,1,61.0,117.0,0
0,315.0,125.0,1,8,6,100.0,1,1,4.0,1,1,32.0,36.0,0
1,183.0,52.0,1,5,6,81.0,1,1,5.0,1,1,89.0,144.0,1
1,248.0,102.0,1,2,6,85.0,1,1,7.0,1,1,148.0,1.0,1
1,49.0,40.0,0,12,6,34.0,1,1,4.0,1,1,45.0,79.0,0
1,198.0,102.0,1,5,6,104.0,1,1,7.0,1,1,1.0,150.0,1
1,329.0,69.0,1,12,3,56.0,0,0,1.0,1,1,107.0,1.0,0
1,284.0,116.0,1,8,3,2.0,0,0,1.0,0,1,1.0,196.0,1
1,142.0,95.0,1,13,3,104.0,1,1,3.0,1,1,109.0,1.0,1
0,33.0,139.0,1,10,3,20.0,1,1,3.0,0,1,26.0,124.0,1
1,42.0,40.0,0,8,3,4.0,0,0,1.0,0,1,45.0,5.0,0
0,69.0,111.0,1,2,3,60.0,1,1,8.0,0,1,41.0,202.0,1
0,129.0,20.0,1,10,3,2.0,0,0,1.0,0,1,92.0,151.0,0
0,35.0,20.0,0,10,3,16.0,1,0,1.0,1,1,53.0,1.0,0
1,246.0,42.0,1,6,3,5.0,0,0,1.0,0,1,57.0,1.0,0
1,250.0,52.0,1,8,3,6.0,1,0,1.0,0,1,53.0,1.0,0
1,38.0,146.0,1,10,3,21.0,0,0,1.0,0,1,24.0,101.0,0
1,176.0,46.0,1,4,6,93.0,1,1,4.0,1,1,1.0,1.0,1
1,70.0,5.0,0,8,3,4.0,0,0,1.0,0,1,69.0,44.0,0
1,181.0,74.0,0,12,6,48.0,1,1,2.0,1,1,63.0,235.0,1
0,155.0,175.0,1,12,3,47.0,1,1,2.0,0,1,77.0,20.0,1
1,77.0,66.0,1,12,3,28.0,1,1,12.0,1,1,18.0,186.0,1
1,118.0,26.0,1,12,6,78.0,1,1,4.0,1,1,106.0,66.0,1
0,47.0,160.0,0,5,6,1.0,0,0,1.0,1,1,51.0,28.0,0
1,305.0,43.0,0,12,6,114.0,1,0,1.0,1,1,69.0,50.0,0
1,77.0,169.0,1,13,6,50.0,1,1,12.0,1,1,100.0,92.0,1
1,259.0,40.0,1,11,3,123.0,0,1,2.0,1,1,115.0,54.0,0
1,348.0,204.0,0,0,0,2.0,0,1,3.0,0,1,1.0,102.0,0
1,95.0,180.0,1,10,3,65.0,1,0,1.0,1,0,3.0,1.0,1
1,236.0,191.0,1,13,3,111.0,1,1,7.0,1,1,20.0,1.0,1
0,282.0,132.0,1,12,3,106.0,1,1,7.0,1,1,1.0,164.0,1
0,280.0,73.0,1,5,3,123.0,1,1,3.0,1,1,155.0,178.0,1
1,78.0,1.0,1,4,3,3.0,1,0,1.0,0,1,1.0,1.0,1
1,71.0,46.0,0,10,3,15.0,0,0,1.0,1,1,38.0,42.0,0
1,115.0,37.0,1,5,6,31.0,1,0,1.0,0,1,1.0,216.0,1
1,338.0,18.0,1,12,3,16.0,1,1,4.0,1,1,63.0,1.0,0
1,84.0,14.0,0,12,3,2.0,0,1,3.0,0,1,40.0,7.0,0
0,50.0,156.0,1,2,3,19.0,1,1,3.0,1,1,14.0,1.0,1
0,90.0,52.0,0,12,3,5.0,0,0,1.0,0,1,43.0,1.0,0
1,8.0,2.0,1,12,3,2.0,0,0,1.0,0,1,1.0,1.0,1
0,141.0,55.0,0,1,6,47.0,0,0,1.0,0,1,91.0,18.0,0
0,308.0,196.0,1,12,3,93.0,1,1,15.0,0,1,1.0,188.0,1
1,173.0,82.0,1,8,3,14.0,0,0,1.0,1,1,84.0,1.0,0
1,53.0,90.0,0,7,6,2.0,0,0,1.0,0,1,45.0,50.0,0
1,129.0,5.0,0,8,3,3.0,0,0,1.0,0,1,76.0,185.0,0
1,34.0,52.0,0,12,3,54.0,0,0,1.0,1,1,36.0,7.0,0
1,123.0,78.0,0,2,6,87.0,0,1,3.0,1,1,119.0,2.0,0
1,126.0,46.0,1,13,3,47.0,1,1,12.0,1,1,140.0,30.0,1
1,239.0,119.0,1,10,4,73.0,1,1,2.0,0,1,1.0,115.0,1
0,216.0,66.0,1,7,6,6.0,0,0,1.0,0,1,92.0,86.0,0
1,257.0,101.0,0,13,3,69.0,1,0,1.0,1,1,16.0,173.0,1
1,321.0,177.0,1,11,3,31.0,1,1,5.0,1,1,69.0,1.0,1
1,262.0,102.0,1,7,4,52.0,0,0,1.0,1,1,46.0,1.0,0
0,84.0,25.0,1,13,3,7.0,0,1,2.0,1,1,86.0,5.0,0
1,28.0,55.0,1,7,3,37.0,1,1,3.0,0,1,38.0,94.0,1
0,243.0,82.0,1,7,4,14.0,0,0,1.0,0,0,170.0,1.0,0
0,90.0,17.0,1,2,6,37.0,1,0,1.0,0,1,98.0,141.0,1
1,253.0,149.0,1,5,6,107.0,1,1,9.0,0,1,1.0,1.0,1
0,38.0,6.0,1,2,3,2.0,0,0,1.0,1,1,124.0,1.0,0
1,58.0,169.0,1,7,3,14.0,1,0,1.0,1,1,32.0,43.0,0
1,160.0,71.0,1,0,0,1.0,0,1,6.0,0,1,61.0,64.0,0
1,120.0,48.0,1,4,6,44.0,1,1,13.0,1,1,160.0,131.0,1
1,290.0,214.0,0,0,0,1.0,1,0,1.0,1,1,1.0,1.0,0
0,152.0,43.0,1,13,6,2.0,0,1,4.0,0,1,1.0,29.0,0
1,140.0,40.0,1,13,3,43.0,0,0,1.0,0,1,69.0,1.0,0
1,130.0,103.0,0,12,4,37.0,1,1,9.0,1,1,47.0,8.0,1
1,240.0,208.0,1,1,7,131.0,1,1,12.0,0,1,1.0,158.0,1
1,211.0,92.0,1,2,3,73.0,0,0,1.0,0,1,144.0,36.0,0
1,102.0,12.0,1,8,6,73.0,0,0,1.0,1,1,111.0,1.0,0
1,145.0,82.0,1,12,3,5.0,0,0,1.0,0,1,76.0,1.0,0
1,77.0,1.0,1,8,3,26.0,0,1,12.0,0,0,1.0,1.0,0
0,171.0,45.0,1,13,3,28.0,1,1,17.0,0,1,38.0,184.0,1
1,97.0,82.0,1,4,3,17.0,1,1,8.0,0,1,1.0,223.0,1
0,200.0,85.0,1,0,0,1.0,0,1,7.0,0,1,1.0,77.0,0
0,29.0,151.0,1,6,3,11.0,0,0,1.0,0,1,24.0,34.0,0
1,238.0,102.0,1,7,4,6.0,0,0,1.0,0,1,158.0,1.0,0
1,81.0,33.0,1,12,3,14.0,0,0,1.0,1,0,98.0,1.0,0
1,219.0,1.0,1,12,3,1.0,0,0,1.0,0,2,65.0,1.0,1
0,92.0,189.0,1,2,6,37.0,0,0,1.0,0,1,98.0,2.0,0
0,276.0,185.0,1,7,4,89.0,1,1,10.0,1,1,1.0,1.0,1
1,190.0,106.0,1,13,3,3.0,0,0,1.0,1,1,100.0,7.0,1
1,66.0,20.0,0,0,0,1.0,0,0,1.0,0,1,32.0,1.0,0
1,125.0,41.0,1,8,6,7.0,0,0,1.0,1,0,45.0,1.0,0
1,258.0,89.0,1,10,3,2.0,0,0,1.0,0,1,34.0,50.0,0
1,135.0,193.0,1,6,3,4.0,0,0,1.0,0,1,1.0,93.0,0
1,208.0,102.0,1,12,4,58.0,1,1,7.0,0,1,1.0,104.0,1
0,24.0,151.0,0,2,6,5.0,0,0,1.0,0,1,111.0,1.0,0
1,55.0,46.0,1,13,3,37.0,0,0,1.0,0,1,49.0,9.0,1
0,228.0,50.0,1,10,3,7.0,0,0,1.0,0,1,1.0,106.0,0
1,167.0,2.0,0,11,3,2.0,0,0,1.0,0,1,1.0,1.0,0
0,15.0,144.0,1,10,3,43.0,0,1,11.0,1,1,1.0,11.0,0
0,47.0,29.0,1,2,3,39.0,1,1,2.0,0,1,1.0,1.0,1
0,230.0,87.0,1,12,3,65.0,0,0,1.0,0,1,149.0,1.0,0
1,226.0,9.0,1,8,3,3.0,1,0,1.0,1,1,98.0,1.0,1
1,124.0,190.0,1,13,3,95.0,1,0,1.0,1,1,150.0,115.0,1
1,125.0,20.0,0,4,3,7.0,1,1,3.0,0,1,92.0,115.0,1
1,34.0,1.0,0,0,0,1.0,0,1,5.0,0,1,13.0,2.0,0
0,95.0,30.0,1,5,6,27.0,1,0,1.0,1,1,53.0,220.0,1
1,124.0,55.0,1,5,6,26.0,1,1,5.0,0,1,45.0,224.0,1
1,67.0,139.0,1,10,3,3.0,0,0,1.0,0,1,1.0,1.0,0
0,295.0,188.0,1,8,6,110.0,1,0,1.0,1,1,1.0,1.0,1
1,173.0,66.0,1,12,3,31.0,0,0,1.0,1,1,98.0,1.0,0
1,222.0,154.0,0,8,3,4.0,0,0,1.0,0,1,53.0,1.0,0
1,279.0,119.0,1,12,3,26.0,0,0,1.0,1,1,1.0,82.0,0
1,126.0,87.0,0,7,6,95.0,1,1,3.0,1,1,22.0,1.0,0
0,204.0,31.0,1,10,3,20.0,1,1,5.0,0,1,1.0,175.0,1
1,184.0,10.0,1,7,4,76.0,0,0,1.0,1,0,136.0,1.0,0
1,189.0,3.0,0,11,4,2.0,1,1,2.0,1,1,98.0,180.0,1
0,50.0,158.0,1,4,6,9.0,1,1,2.0,1,1,24.0,36.0,1
1,181.0,33.0,1,5,3,20.0,1,1,8.0,1,1,111.0,207.0,1
1,73.0,164.0,1,2,3,58.0,1,1,8.0,1,1,32.0,140.0,1
1,290.0,136.0,1,12,6,119.0,1,1,10.0,0,1,64.0,177.0,1
1,242.0,102.0,1,12,3,85.0,1,1,8.0,0,1,1.0,201.0,1
1,49.0,29.0,0,12,3,47.0,0,0,1.0,1,0,86.0,1.0,0
0,227.0,46.0,1,0,0,1.0,0,0,1.0,0,1,23.0,1.0,0
0,323.0,205.0,1,12,3,93.0,1,1,8.0,0,1,1.0,200.0,1
0,160.0,85.0,1,4,6,17.0,1,1,10.0,1,1,64.0,1.0,1
1,64.0,27.0,1,13,3,8.0,0,1,2.0,0,1,136.0,91.0,0
0,327.0,151.0,1,2,3,76.0,1,1,15.0,0,1,1.0,176.0,1
1,137.0,13.0,1,12,3,8.0,0,0,1.0,0,1,77.0,62.0,0
0,273.0,87.0,1,9,2,1.0,1,0,1.0,0,1,32.0,148.0,1
1,52.0,73.0,0,6,3,28.0,1,1,9.0,1,1,53.0,2.0,1
0,92.0,180.0,1,10,3,37.0,1,1,13.0,1,1,38.0,121.0,1
0,51.0,17.0,0,1,1,26.0,0,0,1.0,0,1,92.0,1.0,0
1,91.0,187.0,0,0,0,1.0,0,0,1.0,0,1,65.0,1.0,0
0,112.0,69.0,0,12,3,3.0,0,0,1.0,0,0,24.0,1.0,0
1,244.0,29.0,1,0,0,1.0,1,0,1.0,0,1,42.0,2.0,0
0,223.0,93.0,1,12,3,4.0,0,0,1.0,0,1,53.0,1.0,0
1,39.0,20.0,1,0,0,1.0,0,1,4.0,0,1,114.0,137.0,0
1,232.0,144.0,1,11,3,99.0,1,1,15.0,0,1,86.0,211.0,1
1,104.0,17.0,1,12,3,36.0,1,1,6.0,1,1,106.0,1.0,1
0,274.0,73.0,1,12,3,55.0,1,1,9.0,1,1,129.0,208.0,1
1,40.0,151.0,0,8,6,23.0,1,0,1.0,1,1,45.0,1.0,0
0,67.0,40.0,0,0,0,71.0,0,0,1.0,0,1,98.0,1.0,0
1,32.0,83.0,0,0,0,1.0,0,0,1.0,1,1,63.0,2.0,0
1,339.0,206.0,1,5,6,129.0,1,1,10.0,1,1,1.0,150.0,1
0,11.0,40.0,1,2,3,7.0,0,1,2.0,0,1,34.0,48.0,0
0,343.0,196.0,1,1,7,1.0,1,1,15.0,0,1,1.0,204.0,1
1,349.0,210.0,1,1,7,120.0,1,1,2.0,1,1,1.0,53.0,1
0,5.0,72.0,1,2,3,3.0,0,0,1.0,0,1,38.0,1.0,0
1,197.0,87.0,1,6,4,119.0,1,0,1.0,1,1,65.0,1.0,0
0,280.0,132.0,1,1,4,99.0,1,1,7.0,0,1,123.0,239.0,1
1,78.0,1.0,1,12,3,1.0,0,0,1.0,0,2,65.0,1.0,1
1,270.0,46.0,1,12,3,58.0,1,0,1.0,1,1,45.0,1.0,0
1,2.0,123.0,1,1,3,26.0,0,0,1.0,0,1,161.0,1.0,0
1,32.0,14.0,0,12,3,5.0,0,1,2.0,0,1,69.0,2.0,0
1,307.0,119.0,1,8,3,98.0,1,1,16.0,0,1,1.0,231.0,1
1,35.0,1.0,0,11,4,1.0,0,0,1.0,1,0,152.0,2.0,1
1,22.0,6.0,1,2,5,6.0,0,0,1.0,0,1,69.0,32.0,1
1,218.0,29.0,1,1,3,2.0,0,0,1.0,0,1,38.0,6.0,0
1,72.0,48.0,0,13,3,67.0,1,1,7.0,0,1,24.0,1.0,1
1,283.0,91.0,1,5,4,3.0,0,0,1.0,1,1,156.0,1.0,0
1,189.0,66.0,1,12,3,26.0,0,0,1.0,0,1,146.0,17.0,0
0,180.0,49.0,1,6,3,15.0,0,0,1.0,1,1,1.0,1.0,0
1,261.0,13.0,0,12,3,10.0,1,1,9.0,1,1,102.0,70.0,1
1,193.0,88.0,0,7,4,110.0,1,1,8.0,1,1,68.0,1.0,1
1,258.0,73.0,1,7,4,26.0,1,0,1.0,0,1,1.0,77.0,0
1,25.0,6.0,1,6,3,7.0,0,0,1.0,1,0,98.0,1.0,0
1,77.0,66.0,1,0,0,3.0,0,0,1.0,1,1,32.0,209.0,0
0,70.0,135.0,0,5,3,57.0,0,0,1.0,0,1,55.0,1.0,1
1,21.0,8.0,1,10,3,2.0,0,0,1.0,0,1,98.0,135.0,0
1,27.0,159.0,0,10,3,4.0,1,0,1.0,0,1,38.0,105.0,0
0,124.0,46.0,1,11,3,47.0,1,0,1.0,0,0,118.0,1.0,0
0,33.0,141.0,0,12,3,26.0,1,1,5.0,1,1,24.0,115.0,1
1,72.0,26.0,1,7,3,39.0,0,1,2.0,1,1,131.0,10.0,0
1,336.0,183.0,0,12,6,85.0,1,0,1.0,0,1,36.0,1.0,0
0,82.0,139.0,1,2,3,110.0,1,1,6.0,1,1,38.0,1.0,1
1,201.0,77.0,1,5,6,74.0,1,0,1.0,1,1,163.0,1.0,0
0,322.0,92.0,0,0,0,85.0,0,0,1.0,1,1,1.0,5.0,0
0,309.0,6.0,1,0,0,1.0,0,0,1.0,1,0,19.0,26.0,0
1,246.0,88.0,1,4,6,101.0,1,1,9.0,0,1,107.0,1.0,1
1,255.0,103.0,1,2,6,120.0,1,0,1.0,1,1,27.0,1.0,1
1,246.0,40.0,0,13,3,7.0,0,0,1.0,0,1,1.0,75.0,0
0,186.0,26.0,1,8,4,26.0,1,1,4.0,1,1,75.0,1.0,0
1,103.0,180.0,1,4,3,30.0,1,1,23.0,1,1,45.0,89.0,1
1,88.0,120.0,0,6,3,93.0,1,0,1.0,1,0,32.0,1.0,1
1,80.0,171.0,0,13,3,23.0,1,0,1.0,1,1,53.0,94.0,1
1,155.0,66.0,1,4,6,52.0,0,0,1.0,1,0,111.0,1.0,0
1,215.0,87.0,1,12,4,85.0,1,0,1.0,1,0,98.0,1.0,0
1,110.0,47.0,1,13,3,4.0,0,0,1.0,0,1,32.0,1.0,0
0,144.0,22.0,1,13,3,7.0,0,0,1.0,1,1,102.0,1.0,0
0,76.0,54.0,1,9,2,1.0,0,1,2.0,0,1,69.0,37.0,0
1,14.0,73.0,1,8,3,2.0,0,0,1.0,1,1,53.0,32.0,0
1,139.0,195.0,1,10,3,86.0,1,1,6.0,1,1,57.0,1.0,1
0,134.0,83.0,1,7,4,14.0,1,0,1.0,1,1,59.0,1.0,0
1,194.0,1.0,1,12,3,1.0,0,0,1.0,0,2,65.0,1.0,0
1,81.0,20.0,1,12,6,3.0,1,0,1.0,0,1,63.0,1.0,0
1,95.0,167.0,1,12,3,58.0,1,1,18.0,0,1,69.0,159.0,1
0,31.0,127.0,1,2,3,62.0,1,1,6.0,0,1,65.0,236.0,1
1,13.0,10.0,1,2,3,9.0,0,1,5.0,0,1,53.0,9.0,0
0,7.0,12.0,1,0,0,1.0,0,1,2.0,0,1,53.0,59.0,0
1,178.0,66.0,1,10,3,43.0,0,1,3.0,1,1,165.0,1.0,0
0,46.0,151.0,1,12,6,26.0,1,1,5.0,0,1,15.0,174.0,1
0,61.0,52.0,0,9,2,1.0,0,0,1.0,0,1,53.0,1.0,0
1,181.0,34.0,1,3,6,99.0,1,0,1.0,1,1,55.0,237.0,1
0,99.0,57.0,1,12,6,63.0,1,0,1.0,1,1,117.0,2.0,0
0,92.0,73.0,1,2,6,44.0,1,1,19.0,0,1,1.0,115.0,1
1,157.0,1.0,1,13,3,31.0,1,1,2.0,0,1,70.0,1.0,1
1,50.0,104.0,0,9,3,8.0,0,0,1.0,0,1,45.0,74.0,0
0,241.0,133.0,0,8,3,5.0,0,1,3.0,0,1,65.0,19.0,0
1,140.0,40.0,1,12,6,7.0,0,1,3.0,1,1,131.0,52.0,0
1,244.0,17.0,0,11,3,14.0,0,0,1.0,1,1,42.0,1.0,0
0,141.0,16.0,1,8,3,15.0,1,1,5.0,0,1,124.0,115.0,1
1,312.0,17.0,0,8,6,75.0,1,0,1.0,0,1,63.0,95.0,1
1,188.0,109.0,0,12,3,37.0,0,0,1.0,1,1,18.0,1.0,0
1,95.0,175.0,1,8,3,52.0,1,1,3.0,1,1,38.0,6.0,0
0,113.0,67.0,0,0,0,1.0,0,0,1.0,1,1,63.0,41.0,0
0,180.0,97.0,1,2,6,40.0,1,1,3.0,0,1,1.0,1.0,1
1,185.0,59.0,1,12,3,37.0,0,0,1.0,0,2,38.0,1.0,0
1,207.0,109.0,1,7,4,85.0,0,0,1.0,0,1,73.0,129.0,0
1,38.0,11.0,1,8,3,8.0,0,0,1.0,0,1,98.0,103.0,0
1,87.0,30.0,1,2,3,83.0,1,1,3.0,1,1,156.0,180.0,1
0,153.0,119.0,1,12,4,76.0,1,1,8.0,1,1,1.0,201.0,1
1,42.0,123.0,1,12,3,14.0,0,0,1.0,0,1,1.0,1.0,0
1,99.0,19.0,1,12,3,8.0,1,1,8.0,1,1,30.0,214.0,1
1,142.0,99.0,1,11,3,47.0,0,1,2.0,1,1,146.0,43.0,0
1,262.0,61.0,1,7,4,20.0,1,0,1.0,0,1,159.0,1.0,0
1,136.0,38.0,1,8,3,14.0,1,0,1.0,0,0,98.0,1.0,0
1,163.0,73.0,0,7,4,101.0,0,0,1.0,0,1,1.0,2.0,0
1,45.0,150.0,1,1,1,1.0,1,0,1.0,0,1,1.0,1.0,1
1,269.0,136.0,1,4,6,124.0,1,1,2.0,1,1,26.0,180.0,1
